source_video,frame_number,timestamp_seconds,marker_raw_present,marker_raw_confidence,power_adapter_raw_present,power_adapter_raw_confidence,marker_stable_present,power_adapter_stable_present,marker_window_positive_count,power_adapter_window_positive_count,temporal_window_frames,minimum_positive_frames
T_20260715_015858_798765.mp4,0,0.0,False,0.0,True,0.331076,False,True,0,1,5,3
T_20260715_015858_798765.mp4,1,0.033333,False,0.0,True,0.291795,False,True,0,2,5,3
T_20260715_015858_798765.mp4,2,0.066667,False,0.0,True,0.30986,False,True,0,3,5,3
T_20260715_015858_798765.mp4,3,0.1,False,0.0,True,0.301281,False,True,0,4,5,3
T_20260715_015858_798765.mp4,4,0.133333,False,0.0,True,0.2985,False,True,0,5,5,3
T_20260715_015858_798765.mp4,5,0.166667,False,0.0,True,0.311471,False,True,0,5,5,3
T_20260715_015858_798765.mp4,6,0.2,False,0.0,True,0.327188,False,True,0,5,5,3
T_20260715_015858_798765.mp4,7,0.233333,False,0.0,True,0.314952,False,True,0,5,5,3
T_20260715_015858_798765.mp4,8,0.266667,False,0.0,True,0.308537,False,True,0,5,5,3
T_20260715_015858_798765.mp4,9,0.3,False,0.0,True,0.30522,False,True,0,5,5,3
T_20260715_015858_798765.mp4,10,0.333333,False,0.0,True,0.324631,False,True,0,5,5,3
T_20260715_015858_798765.mp4,11,0.366667,False,0.0,True,0.333869,False,True,0,5,5,3
T_20260715_015858_798765.mp4,12,0.4,False,0.0,True,0.323673,False,True,0,5,5,3
T_20260715_015858_798765.mp4,13,0.433333,False,0.0,True,0.301726,False,True,0,5,5,3
T_20260715_015858_798765.mp4,14,0.466667,False,0.0,True,0.33643,False,True,0,5,5,3
T_20260715_015858_798765.mp4,15,0.5,False,0.0,True,0.333926,False,True,0,5,5,3
T_20260715_015858_798765.mp4,16,0.533333,False,0.0,True,0.345397,False,True,0,5,5,3
T_20260715_015858_798765.mp4,17,0.566667,False,0.0,True,0.332155,False,True,0,5,5,3
T_20260715_015858_798765.mp4,18,0.6,False,0.0,True,0.3358,False,True,0,5,5,3
T_20260715_015858_798765.mp4,19,0.633333,False,0.0,True,0.323008,False,True,0,5,5,3
