source_video,event_number,frame_number,timestamp_seconds,previous_state,new_state,event_type,event_description,sequence_violation,assembly_completed
T_20260712_200418_666396.mp4,1,236,7.866667,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,2,251,8.366667,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
T_20260712_200418_666396.mp4,3,256,8.533333,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,4,263,8.766667,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
T_20260712_200418_666396.mp4,5,328,10.933333,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,6,332,11.066667,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
T_20260712_200418_666396.mp4,7,401,13.366667,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,8,406,13.533333,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
T_20260712_200418_666396.mp4,9,433,14.433333,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,10,442,14.733333,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
T_20260712_200418_666396.mp4,11,445,14.833333,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,12,477,15.9,POWER_ADAPTER_ONLY,MARKER_ONLY,ADAPTER_REPLACED_BY_MARKER,Power adapter disappeared while marker appeared.,True,False
T_20260712_200418_666396.mp4,13,480,16.0,MARKER_ONLY,BOTH_PRESENT,POWER_ADAPTER_ADDED,Power adapter added after marker.,False,True
T_20260712_200418_666396.mp4,14,519,17.3,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,15,534,17.8,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
T_20260712_200418_666396.mp4,16,567,18.9,BOTH_PRESENT,POWER_ADAPTER_ONLY,MARKER_REMOVED,Marker removed while power adapter remained.,False,False
T_20260712_200418_666396.mp4,17,572,19.066667,POWER_ADAPTER_ONLY,BOTH_PRESENT,MARKER_ADDED_AFTER_ADAPTER,Marker added after power adapter.,True,True
