trial_id,curated_image_count,final_image_count,removed_image_count,selection_method
T_20260712_195606_753667,5,5,0,PROTECTED_KEEP_ALL
T_20260712_195649_403972,4,4,0,PROTECTED_KEEP_ALL
T_20260712_195728_922976,4,4,0,PROTECTED_KEEP_ALL
T_20260712_195753_424095,5,5,0,PROTECTED_KEEP_ALL
T_20260712_195837_322396,6,6,0,KEEP_ALL
T_20260712_195933_076767,5,5,0,PROTECTED_KEEP_ALL
T_20260712_200002_161235,5,5,0,PROTECTED_KEEP_ALL
T_20260712_200033_240601,6,6,0,KEEP_ALL
T_20260712_200051_593408,11,11,0,KEEP_ALL
T_20260712_200134_229147,6,6,0,KEEP_ALL
T_20260712_200203_900296,7,7,0,KEEP_ALL
T_20260712_200241_482341,7,7,0,KEEP_ALL
T_20260712_200303_171698,10,10,0,KEEP_ALL
T_20260712_200340_371645,14,14,0,KEEP_ALL
T_20260712_200418_666396,27,15,12,DIVERSITY_SELECTION
